コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
4409,北部,"162,318","53,551",337,23,2499,584,442,1469
4501,宮崎東諸県,"429,249","120,633",17,41,6291,1398,1153,3662
4502,都城北諸県,"190,605","57,865",392,28,3623,1419,393,1807
4503,延岡西臼杵,"138,251","47,905",273,20,2648,944,574,1126
4504,日南串間,"70,977","27,208",166,11,1814,674,363,773
4505,西諸,"73,478","28,350",14,15,1397,431,350,612
4506,西都児湯,"100,176","34,543",127,10,1180,155,319,702
4507,日向入郷,"103,031","34,414",150,12,1683,814,393,472
4601,鹿児島,"679,475","189,274","2,847",102,13682,3583,2861,7178
4603,南薩,"130,001","50,558",299,30,3493,1446,851,1168
4605,川薩,"115,515","38,530",269,15,1915,576,485,850
4606,出水,"84,011","29,170",12,8,1227,495,249,479
4607,姶良・伊佐,"237,696","71,998",464,33,4967,1619,1397,1943
4609,曽於,"79,531","30,012",88,9,970,124,452,392
4610,肝属,"153,635","51,290",304,18,2894,653,426,1811
4611,熊毛,"41,081","15,029",49,4,536,130,-,401
4612,奄美,"109,201","36,850",188,15,2480,736,548,1175
4701,北部,"126,217","34,672",210,9,1835,337,436,1060
4702,中部,"514,331","108,128","1,088",29,5985,1859,1346,2746
4703,南部,"747,919","161,760","2,390",45,9563,3006,1663,4874
4704,宮古,"56,556","14,616",96,4,758,49,216,487
4705,八重山,"55,882","12,020",103,3,461,38,88,326
